,node,sampleId,featureId,inequality,threshold,label
99,0,C000102210,averageDailyTraffic,>,27.5,negative
100,6,C000102210,yearBuilt,<=,1986.0,negative
101,7,C000102210,structureLength,>,12.799999713897705,negative
102,0,C000102315,averageDailyTraffic,>,27.5,negative
103,6,C000102315,yearBuilt,>,1986.0,negative
104,0,C000102625,averageDailyTraffic,>,27.5,negative
105,6,C000102625,yearBuilt,>,1986.0,negative
106,0,C000102805,averageDailyTraffic,>,27.5,negative
107,6,C000102805,yearBuilt,<=,1986.0,negative
108,7,C000102805,structureLength,<=,12.799999713897705,negative
109,8,C000102805,latitude,<=,40.61000061035156,negative
110,0,C000102905P,averageDailyTraffic,>,27.5,negative
111,6,C000102905P,yearBuilt,>,1986.0,negative
112,0,C000103005,averageDailyTraffic,<=,27.5,negative
113,1,C000103005,structureLength,>,15.349999904632568,negative
114,3,C000103005,averageDailyTraffic,>,22.5,negative
115,0,C000104210,averageDailyTraffic,>,27.5,negative
116,6,C000104210,yearBuilt,>,1986.0,negative
117,0,C000104305P,averageDailyTraffic,>,27.5,negative
118,6,C000104305P,yearBuilt,>,1986.0,negative
119,0,C000104410,averageDailyTraffic,>,27.5,negative
120,6,C000104410,yearBuilt,<=,1986.0,negative
121,7,C000104410,structureLength,>,12.799999713897705,negative
122,0,C000104415,averageDailyTraffic,>,27.5,negative
123,6,C000104415,yearBuilt,>,1986.0,negative
124,0,C000104420,averageDailyTraffic,>,27.5,negative
125,6,C000104420,yearBuilt,>,1986.0,negative
126,0,C000110325,averageDailyTraffic,>,27.5,negative
127,6,C000110325,yearBuilt,>,1986.0,negative
128,0,C000112220,averageDailyTraffic,<=,27.5,negative
129,1,C000112220,structureLength,<=,15.349999904632568,negative
130,0,C000114915,averageDailyTraffic,>,27.5,negative
131,6,C000114915,yearBuilt,>,1986.0,negative
132,0,C000123630,averageDailyTraffic,>,27.5,negative
133,6,C000123630,yearBuilt,>,1986.0,negative
134,0,C000134022,averageDailyTraffic,<=,27.5,negative
135,1,C000134022,structureLength,<=,15.349999904632568,negative
136,0,C000134025,averageDailyTraffic,<=,27.5,negative
137,1,C000134025,structureLength,<=,15.349999904632568,negative
138,0,C000201010,averageDailyTraffic,>,27.5,negative
139,6,C000201010,yearBuilt,<=,1986.0,negative
140,7,C000201010,structureLength,<=,12.799999713897705,negative
141,8,C000201010,latitude,>,40.61000061035156,negative
142,10,C000201010,operatingRating,<=,59.39999961853027,negative
143,0,C000201710P,averageDailyTraffic,<=,27.5,negative
144,1,C000201710P,structureLength,>,15.349999904632568,negative
145,3,C000201710P,averageDailyTraffic,<=,22.5,negative
146,0,C000211040,averageDailyTraffic,<=,27.5,negative
147,1,C000211040,structureLength,<=,15.349999904632568,negative
148,0,C000213905,averageDailyTraffic,>,27.5,negative
149,6,C000213905,yearBuilt,>,1986.0,negative
150,0,C000216025,averageDailyTraffic,<=,27.5,negative
151,1,C000216025,structureLength,<=,15.349999904632568,negative
152,0,C000220310,averageDailyTraffic,<=,27.5,negative
153,1,C000220310,structureLength,>,15.349999904632568,negative
154,3,C000220310,averageDailyTraffic,<=,22.5,negative
155,0,C000221115P,averageDailyTraffic,<=,27.5,negative
156,1,C000221115P,structureLength,<=,15.349999904632568,negative
157,0,C000221911,averageDailyTraffic,<=,27.5,negative
158,1,C000221911,structureLength,>,15.349999904632568,negative
159,3,C000221911,averageDailyTraffic,>,22.5,negative
160,0,C000226205,averageDailyTraffic,<=,27.5,negative
161,1,C000226205,structureLength,<=,15.349999904632568,negative
162,0,C000226615,averageDailyTraffic,<=,27.5,negative
163,1,C000226615,structureLength,<=,15.349999904632568,negative
164,0,C000230910,averageDailyTraffic,<=,27.5,negative
165,1,C000230910,structureLength,<=,15.349999904632568,negative
166,0,C000502105,averageDailyTraffic,>,27.5,negative
167,6,C000502105,yearBuilt,>,1986.0,negative
168,0,C000502405,averageDailyTraffic,<=,27.5,negative
169,1,C000502405,structureLength,>,15.349999904632568,negative
170,3,C000502405,averageDailyTraffic,<=,22.5,negative
171,0,C000503105P,averageDailyTraffic,<=,27.5,negative
172,1,C000503105P,structureLength,>,15.349999904632568,negative
173,3,C000503105P,averageDailyTraffic,<=,22.5,negative
174,0,C000504405P,averageDailyTraffic,<=,27.5,negative
175,1,C000504405P,structureLength,<=,15.349999904632568,negative
176,0,C000600810,averageDailyTraffic,>,27.5,negative
177,6,C000600810,yearBuilt,>,1986.0,negative
178,0,C000601905P,averageDailyTraffic,<=,27.5,negative
179,1,C000601905P,structureLength,>,15.349999904632568,negative
180,3,C000601905P,averageDailyTraffic,<=,22.5,negative
181,0,C000602505,averageDailyTraffic,>,27.5,negative
182,6,C000602505,yearBuilt,<=,1986.0,negative
183,7,C000602505,structureLength,<=,12.799999713897705,negative
184,8,C000602505,latitude,>,40.61000061035156,negative
185,10,C000602505,operatingRating,<=,59.39999961853027,negative
186,0,C000602510,averageDailyTraffic,<=,27.5,negative
187,1,C000602510,structureLength,<=,15.349999904632568,negative
188,0,C000602705,averageDailyTraffic,<=,27.5,negative
189,1,C000602705,structureLength,<=,15.349999904632568,negative
190,0,C000602905,averageDailyTraffic,<=,27.5,negative
191,1,C000602905,structureLength,<=,15.349999904632568,negative
192,0,C000603110,averageDailyTraffic,<=,27.5,negative
193,1,C000603110,structureLength,>,15.349999904632568,negative
194,3,C000603110,averageDailyTraffic,<=,22.5,negative
195,0,C000603505,averageDailyTraffic,>,27.5,negative
196,6,C000603505,yearBuilt,>,1986.0,negative
197,0,C000603600,averageDailyTraffic,<=,27.5,negative
198,1,C000603600,structureLength,<=,15.349999904632568,negative
199,0,C000603705P,averageDailyTraffic,>,27.5,negative
200,6,C000603705P,yearBuilt,<=,1986.0,negative
201,7,C000603705P,structureLength,<=,12.799999713897705,negative
202,8,C000603705P,latitude,>,40.61000061035156,negative
203,10,C000603705P,operatingRating,<=,59.39999961853027,negative
204,0,C000604205P,averageDailyTraffic,<=,27.5,negative
205,1,C000604205P,structureLength,<=,15.349999904632568,negative
206,0,C000611330,averageDailyTraffic,<=,27.5,negative
207,1,C000611330,structureLength,<=,15.349999904632568,negative
208,0,C000612020,averageDailyTraffic,<=,27.5,negative
209,1,C000612020,structureLength,>,15.349999904632568,negative
210,3,C000612020,averageDailyTraffic,>,22.5,negative
211,0,C000613005P,averageDailyTraffic,<=,27.5,negative
212,1,C000613005P,structureLength,<=,15.349999904632568,negative
213,0,C000613925,averageDailyTraffic,>,27.5,negative
214,6,C000613925,yearBuilt,>,1986.0,negative
215,0,C000613930,averageDailyTraffic,>,27.5,negative
216,6,C000613930,yearBuilt,>,1986.0,negative
217,0,C000614720,averageDailyTraffic,>,27.5,negative
218,6,C000614720,yearBuilt,>,1986.0,negative
219,0,C000614730,averageDailyTraffic,<=,27.5,negative
220,1,C000614730,structureLength,<=,15.349999904632568,negative
221,0,C000615230,averageDailyTraffic,<=,27.5,negative
222,1,C000615230,structureLength,>,15.349999904632568,negative
223,3,C000615230,averageDailyTraffic,>,22.5,negative
224,0,C000616005,averageDailyTraffic,<=,27.5,negative
225,1,C000616005,structureLength,<=,15.349999904632568,negative
226,0,C000621105,averageDailyTraffic,>,27.5,negative
227,6,C000621105,yearBuilt,<=,1986.0,negative
228,7,C000621105,structureLength,>,12.799999713897705,negative
229,0,C000621440,averageDailyTraffic,<=,27.5,negative
230,1,C000621440,structureLength,<=,15.349999904632568,negative
231,0,C000621820,averageDailyTraffic,<=,27.5,negative
232,1,C000621820,structureLength,<=,15.349999904632568,negative
233,0,C000623520,averageDailyTraffic,>,27.5,negative
234,6,C000623520,yearBuilt,>,1986.0,negative
235,0,C000623525,averageDailyTraffic,>,27.5,negative
236,6,C000623525,yearBuilt,>,1986.0,negative
237,0,C000625410,averageDailyTraffic,>,27.5,negative
238,6,C000625410,yearBuilt,>,1986.0,negative
239,0,C000625420,averageDailyTraffic,<=,27.5,negative
240,1,C000625420,structureLength,>,15.349999904632568,negative
241,3,C000625420,averageDailyTraffic,<=,22.5,negative
242,0,C000630315,averageDailyTraffic,>,27.5,negative
243,6,C000630315,yearBuilt,>,1986.0,negative
244,0,C000643630,averageDailyTraffic,<=,27.5,negative
245,1,C000643630,structureLength,<=,15.349999904632568,negative
246,0,C000800205P,averageDailyTraffic,<=,27.5,negative
247,1,C000800205P,structureLength,>,15.349999904632568,negative
248,3,C000800205P,averageDailyTraffic,>,22.5,negative
249,0,C000800615,averageDailyTraffic,>,27.5,negative
250,6,C000800615,yearBuilt,>,1986.0,negative
251,0,C000800705,averageDailyTraffic,<=,27.5,negative
252,1,C000800705,structureLength,<=,15.349999904632568,negative
253,0,C000800710,averageDailyTraffic,<=,27.5,negative
254,1,C000800710,structureLength,>,15.349999904632568,negative
255,3,C000800710,averageDailyTraffic,>,22.5,negative
256,0,C000800715,averageDailyTraffic,<=,27.5,negative
257,1,C000800715,structureLength,<=,15.349999904632568,negative
258,0,C000802515,averageDailyTraffic,<=,27.5,negative
259,1,C000802515,structureLength,>,15.349999904632568,negative
260,3,C000802515,averageDailyTraffic,>,22.5,negative
261,0,C000803110,averageDailyTraffic,>,27.5,negative
262,6,C000803110,yearBuilt,<=,1986.0,negative
263,7,C000803110,structureLength,>,12.799999713897705,negative
